exp;AC1SE;AC2SE;AC3SE;AC4SE;ACM2PM;ACM3PM;AED3EA;AED4E;AF1SE;AF2SE;AF3SE;AJE2E;ALS2PM;ALS3PM;ANA1B;ANA1BA;AS1SE;AS2SE;AS3SE;AS4SE;ATD1BA;ATD1EA;ATD3EA;ATE1BA;ATE1EA;ATE2BA;ATE2EA;ATE3EA;ATE4EA;BGC1BA;BGE1B;BGE1E;BGE1EA;BGE3E;BGE3EA;BGE4E;BGE4EA;BIO2B;BIO2BA;CAA4E;CAV3E;CAV3EA;CCI4E;CEM1E;CTM2B;CUA1B;CUA2B;CUC1B;DCR3EA;DIG4EA;DIT1B;DIT1BA;DIT2B;DIT2BA;DTE3E;DYO1BA;DYP2BA;EA1SE;EA2SE;EA3SE;EA4SE;EAR4EA;ECO1B;ECO1BA;ECO4E;EDM2BA;EEM2B;EF1SE;EF2SE;EF3SE;EF4SE;EFI1B;EFI1BA;EFI1E;EFI1EA;EFI2E;EFI2EA;EFI3E;EFI3EA;EFI4E;EFI4EA;EPS3EA;EPV1E;EPV1EA;EPV2E;EPV2EA;EPV4E;EVC2EA;EYE4EA;FAG2B;FIL1B;FIL1BA;FIQ1B;FIQ1BA;FIQ2E;FIQ2EA;FIQ3E;FIQ3EA;FIQ4E;FIQ4EA;FIS2B;FIS2BA;FOP4EA;FRE1BA;GEG2B;GEG2BA;GHI1E;GHI1EA;GHI2E;GHI2EA;GHI3E;GHI3EA;GHI4E;GHI4EA;GRI1B;GRI1BA;GRI2B;HAR2B;HAR2BA;HES2B;HES2BA;HIF2B;HIF2BA;HMC1B;HMC1BA;HMD2B;HMI1BA;IAE4E;IIN1E;IIN2E;IIN3E;ISO2B;ISO2BA;LAT1B;LAT1BA;LAT2B;LAT2BA;LAT4E;LAT4EA;LCL1B;LCL1BA;LCL1E;LCL1EA;LCL2B;LCL2BA;LCL2E;LCL2EA;LCL3E;LCL3EA;LCL4E;LCL4EA;LEI1BA;LEI1EA;LEI2BA;LEI2EA;LEI3EA;LEI4EA;LIU1B;LPM1B;MAA3E;MAA4E;MAB3E;MAB4E;MAT1B;MAT1BA;MAT1E;MAT1EA;MAT2B;MAT2BA;MAT2E;MAT2EA;MAT3EA;MCS1B;MCS1BA;MCS2B;MCS2BA;ME11B;ME11E;ME12B;ME12E;ME13E;ME22B;ME22E;ME23E;MIN1BA;MIN2BA;MP11EA;MP12EA;MP13EA;MP21EA;MP22EA;MP23EA;MPR1EA;MPR2EA;MPR3EA;MTA4EA;MTB4EA;MUS2E;MUS2EA;MUS3E;MUS3EA;MUS4E;NMA2BA;PIB1B;PIB1E;PIB2B;PIB2E;PIB3E;PIB4E;PIN1B;PIN1E;PIN2B;PIN2E;PIN2PM;PIN3E;PIN3PM;PIN4E;PSI2B;QUI2B;QUI2BA;RC1SE;RC2SE;RCC1E;RCC1EA;RCC2E;RCC2EA;RCC3E;REC1B;REC1BA;REC1E;REC1EA;REC2BA;REC2E;REC2EA;REC3E;REC3EA;REC4E;REC4EA;RIS1EA;RIS2EA;RIS3EA;RIS4EA;ROB2E;SFR1B;SFR1E;SFR2B;SFR2E;SFR3E;SFR4E;SLF1EA;SLF2EA;SLF3EA;TEC1E;TEC3E;TEC4E;TEC4EA;TEI1BA;TEI2BA;TIC1B;TIC2B;TIC4E;TIN1B;TIN2B;TUT2E;TUT3PM;TYD1EA;TYD3EA;VET1E;VET2E;VET3E;VET4E;VS1SE;VS2SE;VS3SE;VS4SE;YCP4EA;YEF4EA;YIC4EA;YMC4EA
2363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;7.0;;;;;;;6.0;;9.0;;9.0;;;;;;;;6.0;;;;;;;;;;;;6.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;5.0;;;;;;6.0;;7.0;;;;;;;;;;;;5.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;8.0;;;;;;;;;;7.0;8.0;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;
2364;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;8.0;;;;;;;8.0;;7.0;;9.0;;;;;;;;6.0;;;;;;;;;;;;8.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;8.0;;;;;;8.0;;8.0;;;;;;;;;;;;9.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;9.0;8.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;
2365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;6.0;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2366;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;6.0;;;;;;;7.0;;7.0;;7.0;;;;;;;;2.0;;;;;;;;;;;;4.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;5.0;;;;;;5.0;;5.0;;;;;;;;;;;;6.0;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;7.0;5.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2367;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;7.0;;;;;;;7.0;;6.0;;9.0;;;;;;;;8.0;;;;;;;;;;;;9.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;6.0;;;;;;9.0;;8.0;;;;;;;;;;;;8.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;8.0;8.0;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;
2368;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;6.0;;;;;;;9.0;;7.0;;6.0;;;;;;;;2.0;;;;;;;;;;;;5.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;7.0;;;;;;8.0;;5.0;;;;;;;;;;;;6.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;8.0;6.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;9.0;;;;;;;10.0;;10.0;;10.0;;;;;;;;9.0;;;;;;;;;;;;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;10.0;;;;;;8.0;;10.0;;;;;;;;;;;;9.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;9.0;;;;;;;;;;;;;;;;9.0;9.0;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
2370;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;6.0;;;;;;;10.0;;10.0;;8.0;;;;;;;;9.0;;;;;;;;;;;;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;9.0;;;;;;9.0;;10.0;;;;;;;;;;;;9.0;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;9.0;8.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2371;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;7.0;;;;;;;8.0;;8.0;;10.0;;;;;;;;8.0;;;;;;;;;;;;8.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;8.0;;;;;;9.0;;9.0;;;;;;;;;;;;6.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;9.0;8.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2372;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;8.0;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;8.0;;;;;;;10.0;;9.0;;10.0;;;;;;;;9.0;;;;;;;;;;;;7.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;9.0;;;;;;9.0;;9.0;;;;;;;;;;;;7.0;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;8.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;
2373;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;9.0;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;7.0;;;;;;;5.0;;6.0;;7.0;;;;;;;;5.0;;;;;;;;;;;;5.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;7.0;;;;;;8.0;;7.0;;;;;;;;;;;;4.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;7.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2374;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;6.0;;;;;;;8.0;;7.0;;7.0;;;;;;;;2.0;;;;;;;;;;;;3.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;5.0;;;;;;6.0;;6.0;;;;;;;;;;;;4.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;7.0;4.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;5.0;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;
2376;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;9.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;8.0;;;;;;;8.0;;9.0;;10.0;;;;;;;;8.0;;;;;;;;;;;;8.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;9.0;;;;;;8.0;;9.0;;;;;;;;;;;;6.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;9.0;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
2377;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;7.0;;;;;;;10.0;;9.0;;7.0;;;;;;;;6.0;;;;;;;;;;;;8.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;6.0;;;;;;6.0;;7.0;;;;;;;;;;;;6.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;8.0;5.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;
2378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;5.0;;;;;;;8.0;;8.0;;9.0;;;;;;;;5.0;;;;;;;;;;;;5.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;5.0;;;;;;5.0;;4.0;;;;;;;;;;;;1.0;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;8.0;;;;;;;;;;7.0;7.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2379;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;3.0;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;5.0;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;
2380;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;7.0;;;;;;;8.0;;7.0;;7.0;;;;;;;;5.0;;;;;;;;;;;;4.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;7.0;;;;;;7.0;;7.0;;;;;;;;;;;;4.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;6.0;6.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2381;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;9.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;9.0;;;;;;;9.0;;9.0;;10.0;;;;;;;;9.0;;;;;;;;;;;;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;10.0;;;;;;8.0;;9.0;;;;;;;;;;;;7.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;9.0;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
2382;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;9.0;;;;;;;10.0;;10.0;;10.0;;;;;;;;10.0;;;;;;;;;;;;10.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;10.0;;;;;;10.0;;10.0;;;;;;;;;;;;10.0;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;10.0;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
2383;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;4.0;;;;;;;7.0;;6.0;;5.0;;;;;;;;5.0;;;;;;;;;;;;5.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;5.0;;;;;;6.0;;4.0;;;;;;;;;;;;6.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;5.0;6.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2384;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;8.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;8.0;;;;;;;9.0;;7.0;;10.0;;;;;;;;7.0;;;;;;;;;;;;7.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;9.0;;;;;;7.0;;7.0;;;;;;;;;;;;6.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;4.0;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;
2385;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;7.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;5.0;;;;;;;7.0;;7.0;;5.0;;;;;;;;6.0;;;;;;;;;;;;6.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;7.0;;;;;;6.0;;5.0;;;;;;;;;;;;6.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;7.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2386;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;8.0;;;;;;;10.0;;8.0;;10.0;;;;;;;;7.0;;;;;;;;;;;;6.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;6.0;;;;;;7.0;;7.0;;;;;;;;;;;;5.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;7.0;6.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2387;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;5.0;;;;;;;7.0;;8.0;;5.0;;;;;;;;6.0;;;;;;;;;;;;6.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;6.0;;;;;;8.0;;7.0;;;;;;;;;;;;7.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;7.0;8.0;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;
2388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;9.0;;;;;;;9.0;;8.0;;8.0;;;;;;;;9.0;;;;;;;;;;;;9.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;8.0;;;;;;7.0;;8.0;;;;;;;;;;;;9.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;9.0;;;;;;;;;;;;;;;;9.0;9.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2389;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;9.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;4.0;;;;;;;7.0;;7.0;;6.0;;;;;;;;4.0;;;;;;;;;;;;6.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;4.0;;;;;;5.0;;3.0;;;;;;;;;;;;4.0;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;4.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
2390;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;7.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;8.0;;;;;;;8.0;;6.0;;9.0;;;;;;;;5.0;;;;;;;;;;;;7.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;7.0;;;;;;8.0;;8.0;;;;;;;;;;;;4.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;6.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;8.0;;;;;;;10.0;;10.0;;7.0;;;;;;;;8.0;;;;;;;;;;;;8.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;8.0;;;;;;6.0;;8.0;;;;;;;;;;;;7.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;10.0;;;;;;;;;;8.0;8.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2392;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;7.0;;;;;;;7.0;;8.0;;8.0;;;;;;;;4.0;;;;;;;;;;;;3.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;6.0;;;;;;7.0;;8.0;;;;;;;;;;;;6.0;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;5.0;4.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2393;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;9.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;7.0;;;;;;;10.0;;10.0;;7.0;;;;;;;;7.0;;;;;;;;;;;;7.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;7.0;;;;;;9.0;;10.0;;;;;;;;;;;;6.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;7.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2394;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;9.0;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;7.0;;;;;;;9.0;;9.0;;9.0;;;;;;;;7.0;;;;;;;;;;;;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;7.0;;;;;;8.0;;8.0;;;;;;;;;;;;6.0;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;9.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2395;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;8.0;;;;;;;9.0;;7.0;;8.0;;;;;;;;8.0;;;;;;;;;;;;9.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;8.0;;;;;;8.0;;8.0;;;;;;;;;;;;8.0;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;8.0;9.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;
2396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;8.0;;;;;;;10.0;;9.0;;10.0;;;;;;;;5.0;;;;;;;;;;;;5.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;6.0;;;;;;5.0;;6.0;;;;;;;;;;;;1.0;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;6.0;;;;;;;;;;;;;;;;6.0;5.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;
2397;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;8.0;;;;;;;8.0;;7.0;;9.0;;;;;;;;7.0;;;;;;;;;;;;5.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;9.0;;;;;;8.0;;7.0;;;;;;;;;;;;8.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;8.0;6.0;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;
